iter	Passed	Remaining
0	1	1715
1	2	1419
2	4	1348
3	5	1257
4	5	1185
5	6	1145
6	7	1107
7	8	1081
8	9	1067
9	10	1052
10	11	1042
11	12	1035
12	13	1027
13	14	1023
14	15	1028
15	17	1053
16	18	1050
17	19	1044
18	20	1040
19	21	1034
20	22	1032
21	23	1028
22	24	1022
23	25	1019
24	26	1015
25	26	1010
26	27	1007
27	28	1003
28	29	999
29	31	1025
30	32	1028
31	33	1026
32	34	1025
33	36	1028
34	37	1026
35	38	1023
36	39	1019
37	40	1019
38	41	1017
39	42	1013
40	43	1011
41	44	1009
42	45	1006
43	46	1016
44	47	1017
45	48	1013
46	50	1017
47	51	1017
48	52	1014
49	53	1012
50	54	1011
51	55	1009
52	56	1007
53	57	1005
54	58	1002
55	59	1000
56	60	996
57	62	1008
58	63	1006
59	64	1017
60	66	1021
61	67	1022
62	68	1020
63	69	1017
64	70	1012
65	71	1008
66	72	1004
67	73	1000
68	73	997
69	74	994
70	75	991
71	76	991
72	78	992
73	79	990
74	80	989
75	81	990
76	82	988
77	83	987
78	84	989
79	85	988
80	87	988
81	88	986
82	88	979
83	89	977
84	90	977
85	92	981
86	93	983
87	94	980
88	95	977
89	96	974
90	97	971
91	98	969
92	99	966
93	99	963
94	100	960
95	101	958
96	102	956
97	103	953
98	104	951
99	105	950
100	107	952
101	108	951
102	109	949
103	109	947
104	110	945
105	111	942
106	112	940
107	113	938
108	114	936
109	115	934
110	116	931
111	117	929
112	118	929
113	119	928
114	120	928
115	122	930
116	122	927
117	123	924
118	124	922
119	125	919
120	126	917
121	127	914
122	127	912
123	128	910
124	129	908
125	130	907
126	131	904
127	132	902
128	133	903
129	134	902
130	136	906
131	137	905
132	138	904
133	139	903
134	140	903
135	141	901
136	142	899
137	144	900
138	145	899
139	146	898
140	147	897
141	148	894
142	149	892
143	149	891
144	151	891
145	152	890
146	153	889
147	155	892
148	156	891
149	158	895
150	159	897
151	160	896
152	162	898
153	163	899
154	165	900
155	166	900
156	167	900
157	168	899
158	169	898
159	170	896
160	171	893
161	172	892
162	173	890
163	174	888
164	175	886
165	176	885
166	177	883
167	177	881
168	179	880
169	180	880
170	181	881
171	182	880
172	183	878
173	184	877
174	185	876
175	186	874
176	187	873
177	188	871
178	189	870
179	190	869
180	191	868
181	192	866
182	193	865
183	195	865
184	196	866
185	197	864
186	198	863
187	199	862
188	200	860
189	201	859
190	202	857
191	203	856
192	204	855
193	205	854
194	206	852
195	207	851
196	208	850
197	209	848
198	211	849
199	212	848
200	213	846
201	213	845
202	214	843
203	215	842
204	216	840
205	217	839
206	218	837
207	219	836
208	220	834
209	221	833
210	222	832
211	223	831
212	225	833
213	226	833
214	227	832
215	228	830
216	229	829
217	230	828
218	231	827
219	233	826
220	234	826
221	235	825
222	236	823
223	237	823
224	238	822
225	240	825
226	242	825
227	243	824
228	244	823
229	245	822
230	246	821
231	247	819
232	248	818
233	249	818
234	251	818
235	252	817
236	254	817
237	256	822
238	259	825
239	260	825
240	262	828
241	263	826
242	265	825
243	266	825
244	267	823
245	268	823
246	270	825
247	272	825
248	273	824
249	275	826
250	277	826
251	278	826
252	279	825
253	280	824
254	281	823
255	282	821
256	283	819
257	284	818
258	286	819
259	287	817
260	288	815
261	289	814
262	290	812
263	290	811
264	291	809
265	292	807
266	293	806
267	294	804
268	295	802
269	296	801
270	297	799
271	298	798
272	299	796
273	300	797
274	302	796
275	303	795
276	304	795
277	306	794
278	306	793
279	307	791
280	308	790
281	309	788
282	310	787
283	311	785
284	312	784
285	313	782
286	314	782
287	316	781
288	316	779
289	317	778
290	318	776
291	319	775
292	320	774
293	321	772
294	322	771
295	323	769
296	324	768
297	325	766
298	326	765
299	327	764
300	328	763
301	329	762
302	330	761
303	331	759
304	332	758
305	334	757
306	335	756
307	336	755
308	337	753
309	338	752
310	339	751
311	339	749
312	340	747
313	341	746
314	342	745
315	343	743
316	345	744
317	346	743
318	347	741
319	348	740
320	349	738
321	350	737
322	351	736
323	352	734
324	353	733
325	354	732
326	355	730
327	356	729
328	357	728
